name	rank	last_changed	profile_group	habitat	flying	diet

Acaridae	family	2025-05-01 23:10:31		soil	no	

Acerentomidae	family	2025-05-01 23:10:31		soil	no	

Acrididae	family	2025-05-01 23:10:31		grassland	no	

Aeolothripidae	family	2025-05-01 23:10:31		grassland	yes	

Aeshnidae	family	2025-05-01 23:10:31		freshwater	yes	

Alydidae	family	2025-05-01 23:10:31		grassland	no	

Amblyoponidae	family	2025-05-01 23:10:31		soil	no	

Amblyponidae	family	2025-05-01 23:10:31		soil	no	

Amblypygi	order	2025-05-01 23:10:31		soil	no	

Amblypygidae	family	2025-05-01 23:10:31		soil	no	

Ameletidae	family	2025-05-01 23:10:31		freshwater	yes	

Amphipsocidae	family	2025-05-01 23:10:31		forest	no	

Andrenidae	family	2025-05-01 23:10:31		soil	no	

Andrognathidae	family	2025-05-01 23:10:31		forest	no	

Animalia	kingdom	2025-05-01 23:10:31			no	

Anisolabididae	family	2025-05-01 23:10:31		soil	no	

Annelida	phylum	2025-05-01 23:10:31			no	

Anoplura	family	2025-05-01 23:10:31		forest, grassland	no	

Anostraca	order	2025-05-01 23:10:31		freshwater	no	

Apachyidae	family	2025-05-01 23:10:31		soil	no	

Aphrophoridae	family	2025-05-01 23:10:31		grassland	no	

Apidae	family	2025-05-01 23:10:31		grassland	no	

Arachnida	class	2025-05-01 23:10:31			no	

Araneae	order	2025-05-01 23:10:31		forest	no	

Araneidae	family	2025-05-01 23:10:31		forest, grassland	no	

Archotermopsidae	family	2025-05-01 23:10:31		soil	no	

Arctacaridae	family	2025-05-01 23:10:31		soil	no	

Argasidae	family	2025-05-01 23:10:31		forest, grassland	no	parasite

Armadillidae	family	2025-05-01 23:10:31		freshwater	no	

Armadillidiidae	family	2025-05-01 23:10:31		freshwater	no	

Arrenuridae	family	2025-05-01 23:10:31		freshwater	no	parasite

Artemiidae	family	2025-05-01 23:10:31		freshwater	no	

Arthropoda	phylum	2025-05-01 23:10:31			no	

Asilidae	family	2025-05-01 23:10:31		grassland	yes	

Astacidae	family	2025-05-01 23:10:31		freshwater	no	

Atemnidae	family	2025-05-01 23:10:31		soil	no	

Attelabidae	family	2025-05-01 23:10:31		forest	no	

Aturidae	family	2025-05-01 23:10:31		freshwater	no	

Atypidae	family	2025-05-01 23:10:31		soil	no	

Australembiidae	family	2025-05-01 23:10:31		soil	no	

Bacillidae	family	2025-05-01 23:10:31		forest	no	

Baetidae	family	2025-05-01 23:10:31		freshwater	yes	

Bairdiidae	family	2025-05-01 23:10:31		marine	no	

Ballophilidae	family	2025-05-01 23:10:31		soil	no	

Behningiidae	family	2025-05-01 23:10:31		freshwater	yes	

Belostomatidae	family	2025-05-01 23:10:31		freshwater	no	

Bibionidae	family	2025-05-01 23:10:31		grassland	yes	

Bittacidae	family	2025-05-01 23:10:31		forest	yes	

Blaberidae	family	2025-05-01 23:10:31		urban	no	

Blaniulidae	family	2025-05-01 23:10:31		soil	no	

Blattellidae	family	2025-05-01 23:10:31		urban	no	

Blattidae	family	2025-05-01 23:10:31		urban	no	

Blattodea	order	2025-05-01 23:10:31		soil	no	

Blissidae	family	2025-05-01 23:10:31		grassland	no	

Bombycidae	family	2025-05-01 23:10:31		forest	yes	

Boopiidae	family	2025-05-01 23:10:31		forest	no	parasite

Boreidae	family	2025-05-01 23:10:31		forest	yes	

Bourletiellidae	family	2025-05-01 23:10:31		soil	no	

Brachycentridae	family	2025-05-01 23:10:31		freshwater, soil	yes	

Braconidae	family	2025-05-01 23:10:31		forest, grassland	no	parasite

Branchinectidae	family	2025-05-01 23:10:31		freshwater	no	

Branchiopoda	class	2025-05-01 23:10:31			no	

Brentidae	family	2025-05-01 23:10:31		forest	no	

Buprestidae	family	2025-05-01 23:10:31		forest	no	

Buthidae	family	2025-05-01 23:10:31		desert	no	

