#==============================================================================#
#                                   ENGLISH                                    #
#==============================================================================#
#                                                                              #
# GENERAL NOTES                                                                #
# Feel free to edit this file to change the text displayed during the game.    #
# However, be careful with changing button texts. Some buttons do scale to     #
# their text size, others don't. So, if you happen to notice ill behavior,     #
# try to shorten your button text.                                             #
# Many of the texts and phrases given here have wildcard symbols: %s and %d.   #
# %s represents a string (text) that the wildcard will be replaced with in     #
# the game. %d represents a number. DO NOT delete or add any wildcards by      #
# yourself! Also, be sure to check what these wildcards represent if you       #
# like to change a phrase with wildcards.                                      #
# Some of the phrases contain HTML code. If you know how to write HTML code,   #
# feel free to change whatever you like, but DO NOT remove or add <html> tags. #
# Also note that Java only supports HTML 3.01 and just some of the basic CSS   #
# elements. You'll need to experminent a bit to receive best results.          #
# Finally, like you've probably noticed already, lines starting with '#' and   #
# empty lines in this document will be ignored by the game.                    #
#                                                                              #
#==============================================================================#
#
# All available languages.
# Please add a line for each newly added language in each language file.
# NOTE! Each language needs to be made out of two characters, preferrably
# using the international standard abbreviation.
# NOTE! The game will crash if the file name and the abbreviation provided
# here do not match.
#

de	German
en	English

#
# Basic vocabulary.
#

and			and
or			or

all			all
override	<4 pl.
start		start

lose		discard
receive		receive

empty		empty
free		free
nobody		Nobody
none		none

entry		entry
foodDemand	Food demand
building	Building
ship		Ship

harvest		Harvest
interest	Interest
supply		Supply
town		The Town

buildings	Buildings
debts		Debts
money		Money
name		Name
rank		Rank
score		Score
ships		Ships
win			have won
wins		has won

apply		Apply
cancel		Cancel
load		Load
long		Long Game
quit		Quit
restart		Restart
save		Save
short		Short Game

#
# Numbered words.
#

good		good
good2		goods
good5		goods

loan		loan
loan2		loans
loan5		loans

player		player
player2		players
player5		players

round		round
round2		rounds
round5		rounds

#
# Logger messages.
#

logLanguage			Language set to '%s'.
logLoginDataSaved	Login data saved: [Game=%s] [Name=%s]
logDump				<b>%s opens the debug window.</b>
logSaveGameState	Game State successfully saved.

logRelogin			<b>%s</b> is back.
logUserJoined		<b>%s</b> joined the game.
logUserReady		<b>%s</b> is ready to play.

logSettings			The game settings have been changed.
logLoadSettings		Game Settings successfully loaded.
logSaveSettings		Game Settings successfully saved.
logBonus			<b>%s</b> will receive additional goods at the beginning of the game: %s

logGameStart		We will play the <b>%s</b>.
logPlayOrder		The turn order is: %s
logSetupComplete	Game setup completed.
logGameTurn			It's <b>%s</b>'s turn.
logBack				<b>The active player undid their move!</b>
logSupplyChit		New supply chit revealed: %s
logOffer			New goods supplied: %s
logOfferTaken		<b>%s</b> takes %s.
logItemBought		<b>%s</b> buys for %s: <b>%s (%d)</b>
logItemSold			<b>%s</b> sells for %s: <b>%s (%d)</b>
logItemBuilt		<b>%s</b> builds for %s: <b>%s (%d)</b>
logEndgame			The final action phase has begun!
logGameOver			The game is over! Final scores:

logBuildingUsed		<b>%s</b> enters a building: <b>%s</b>
logEntryPlayer		<b>%s</b> pays <b>%s</b> %s as entry fee.
logEntryTown		<b>%s</b> pays the town %s as entry fee.
logBuildingBan		<b>%s</b> bans <b>%s</b> from a building: <b>%s (%d)</b>
logBuildingChoose	<b>%s</b> introduces a new special building: <b>%s (%d)</b>
logTransfer			<b>%s</b> pays <b>%s</b> %s.
logModernise		<b>%s</b> modernises the Wharf with %s.
logSwapSpecials		<b>%s</b> swaps the two topmost special buildings.
