uid	name	q	description	common_name	last_updated	family	short_description

1	Abax parallelepipedus	provide a complete scientific and natural history summary of Abax parallelepipedus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Abax parallelepipedus is a large, flightless ground beetle native to Europe, measuring between 17 22 mm in length. It has a glossy black, elongated body with parallel grooves on the elytra and a pronotum with linear foveae. Nocturnal and predatory, it preys on invertebrates such as caterpillars, larvae, and slugs. It plays an important ecological role in controlling pests and contributes to soil aeration through burrowing. This beetle is typically found in moist woodlands under logs, stones, and leaf litter and is an indicator of forest ecosystem health.	Parallel ground beetle	2025-08-09 21:59:18	Carabidae	Large, flightless ground beetle native to Europe, 17–22 mm long, with glossy black, elongated body and parallel grooves on the elytra.

2	Aborolabis cerrobarjai	provide a complete scientific and natural history summary of Aborolabis cerrobarjai, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Aborolabis cerrobarjai is a species of earwig in the family Anisolabididae, described by Steinmann in 1979. It belongs to the genus Aborolabis and is part of the order Dermaptera. Earwigs in this family are typically nocturnal and are often found in moist, shaded environments. They are omnivorous, feeding on a variety of plant and animal matter. Specific ecological and behavioral information about A. Cerrobarjai remains limited, indicating a need for further study.	Cerrobarja earwig	2025-08-09 21:15:23	Anisolabididae	Nocturnal earwig found in moist environments; feeds on both plant and animal matter.

3	Acalyptus carpini	provide a complete scientific and natural history summary of Acalyptus carpini, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Acalyptus carpini, known as Carpin's Snout Beetle, is a weevil in the family Curculionidae. It is associated with hardwood trees in Europe, particularly hornbeam (Carpinus). Adults feed on foliage while larvae may develop inside plant tissues. The species is recognized by its long snout and is part of the diverse beetle order Coleoptera.	Carpin's snout beetle	2025-08-09 21:15:23	Curculionidae	Snout beetle found on hardwood trees in Europe; feeds on foliage as adult.

4	Acanthacorydalis fruhstorferi	provide a complete scientific and natural history summary of Acanthacorydalis fruhstorferi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Acanthacorydalis fruhstorferi is a species of dobsonfly native to Vietnam and China. It holds the title of the largest aquatic insect by wingspan, reaching up to 21.6 cm. The larvae, known as hellgrammites, are aquatic and predatory, residing in streams and rivers. Adults are short-lived and are primarily focused on reproduction. Their impressive size and unique life cycle make them subjects of interest in entomological studies.	Chinese giant dobsonfly	2025-08-09 21:59:18	Corydalidae	Huge dobsonfly with predatory aquatic larvae and short-lived, weak-flying adults; among the largest insects by wingspan.

5	Acanthacorydalis orientalis	provide a complete scientific and natural history summary of Acanthacorydalis orientalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Acanthacorydalis orientalis is among the largest dobsonflies, native to East Asia. Males have large, curved mandibles used in mating displays. Larvae, known as hellgrammites, are aquatic predators inhabiting clean, fast-flowing streams and rivers, where they consume a variety of invertebrates. Adults do not feed and live briefly, emerging to mate. The species is considered a freshwater bioindicator due to its sensitivity to pollution and its role in aquatic food webs.	Oriental dobsonfly	2025-08-09 21:59:18	Corydalidae	Very large dobsonfly with massive mandibles; aquatic larvae are fierce predators in clean, fast streams.

